,0,1,2
65,-2.1233642,6.1294093,-4.3378015
66,-3.3186717,11.646318,1.8343298
67,-6.3224783,0.7903877,3.3057103
68,-1.6739233,7.660565,-2.619327
69,-2.1776836,0.29409873,1.2834147
70,-1.4937716,3.2283552,0.79959154
71,-5.54863,-0.8801906,-1.7872971
72,-7.545327,6.9092445,3.5167203
73,2.959276,18.095695,-2.5107074
74,-20.21286,13.745583,2.9322584
75,-1.3229016,-1.5366805,-1.1256272
76,-7.210383,1.1216123,-1.909145
77,-3.9466987,2.7158203,3.5681317
78,-1.2084689,-0.7157258,-0.2541845
79,-0.27904126,2.7862122,0.6084306
80,-15.195231,12.795748,9.355599
81,-9.357632,1.6354321,2.740514
82,-2.011369,5.3117323,-1.3923858
83,-1.4263041,2.7763257,-0.32491535
84,-15.240062,5.9067407,2.0544431
85,-1.052697,8.6677685,-1.8937339
86,-27.738989,13.505374,-4.3883443
87,0.3273261,6.972978,-5.971352
88,-0.22385667,20.216564,-6.2639666
89,-1.5818009,6.3066483,2.366176
90,-0.76034,19.99259,-15.935365
91,-7.2538795,11.724351,6.364569
92,-5.0295463,3.0453167,-1.5573937
93,-0.0119848065,6.739632,-2.6912692
94,-11.27218,6.787657,-9.271991
95,-5.23648,-0.8834678,1.9514195
96,-2.4582174,-1.701552,0.30685857
97,-24.229017,9.7288885,-5.8137193
98,-17.55922,17.381523,-13.784492
99,-7.200383,6.5315504,2.5081155
100,-9.250253,2.1570816,-1.3591722
101,-2.7614295,-2.0268688,-0.25564736
102,-24.425268,31.601461,17.223127
103,4.298068,27.537712,7.09642
104,-15.429046,14.396023,3.9687958
105,-10.546056,5.0230293,-5.504327
106,-5.543722,3.1654165,-8.454718
107,-1.0978005,15.607853,-2.0372314
108,-17.501423,7.4627514,-7.2097645
109,-6.7645507,8.114635,-10.0215845
110,-25.911589,18.793436,9.994207
111,-2.7223563,5.4191933,1.3980879
112,-17.024755,11.611737,-7.9947114
113,-7.371846,19.41687,-20.366806
114,-3.554912,3.7617278,1.9385983
115,-1.4414723,4.817848,2.111102
116,-23.475777,13.825975,6.678698
117,-6.8834214,2.6872964,4.095968
118,-3.5787106,-2.3180137,-1.7282615
119,-2.978214,0.65116227,-3.5918698
120,-7.2090974,0.5512853,0.5321355
121,-2.3593152,-2.9917464,-0.20827407
122,1.495096,19.616566,-4.615371
123,-1.6262381,4.211938,0.42944178
124,-2.5015395,-0.07790082,1.1039013
125,-0.757581,1.4820001,-1.2309835
126,-7.6958656,0.75006294,1.1171598
127,-3.5110295,1.926944,1.9687725
128,-1.7531717,0.27601707,-0.34812564
129,-0.1343758,4.7465324,0.60359
130,-3.4753816,-0.6897689,-2.0486696
131,-2.549044,-2.8342426,-0.61006266
132,-0.072350726,23.486343,-16.136934
133,-9.947001,16.130953,-0.31609857
134,-15.732855,9.949752,-6.581878
135,0.34953764,9.86388,-6.077721
136,-0.97656894,3.6915772,-1.7932805
137,-2.4485424,-2.9874942,-0.2459937
138,-0.85841596,0.027645059,0.34192422
139,-11.5447035,14.220289,-18.691515
140,-1.9889907,-0.38548058,0.69657344
141,-0.7768879,4.7955017,0.86228687
142,-8.002142,19.597225,4.0615745
143,-8.976913,3.761059,-6.574824
144,-5.6651597,1.3391198,-4.306581
145,-6.89229,5.2307444,-2.51614
146,-1.1913943,-0.5585849,-2.6304004
147,-2.298251,4.5475025,0.26004165
148,-5.1922083,2.7810874,-5.1629763
149,-5.2477756,-0.10507845,-2.06874
150,-3.5405276,-1.4588443,-2.6087656
151,-7.7556405,1.6059568,0.69218564
152,-1.8931909,2.259173,0.9300732
153,-5.8912377,3.6006198,-1.1897746
154,-11.010924,9.767332,-4.1578593
155,-18.741915,9.176817,5.549778
156,-10.838626,24.785706,-4.189612
157,-10.620442,4.4804807,-2.8354435
158,-2.9309223,5.5795207,1.3814548
159,-12.004519,5.317423,-4.9776196
160,-37.895283,42.757206,14.422894
161,-6.4353895,18.921474,5.1973233
162,-10.093476,11.268428,7.276184
163,5.374461,29.54498,-0.6851791
164,-0.10180889,1.4593841,-0.3817045
165,-8.100413,7.0571723,7.496775
166,-3.3474758,20.727457,8.742343
167,-6.178992,3.6281953,-3.6472862
168,1.5131652,36.233124,15.2657
169,-0.4797916,2.9677002,-2.270683
170,-15.770914,11.690147,-6.9307303
171,-14.966212,10.474003,-2.4638367
172,-2.7068326,-0.62779367,-4.2417445
173,-2.1675174,9.265671,4.0870295
174,-2.37191,3.0587916,-3.339164
175,-1.2776711,15.832675,1.2639906
176,-2.612015,20.260578,8.537835
177,-3.2789366,17.377373,6.191224
178,-2.0525718,0.7201557,1.4356924
179,-8.07595,8.681641,-6.56067
180,-9.332203,5.4744573,-4.7199874
181,-14.045451,14.113604,-12.112523
