,0,1,2
67,0.30893454,-5.9214225,4.0703545
68,0.6637641,-3.8255312,-4.193943
69,1.309802,-2.8754315,2.2088416
70,0.51045483,-2.7941163,0.016281435
71,3.785425,-4.7012496,1.4427075
72,-1.2446473,-7.9324937,1.4564441
73,-4.4207616,-6.817091,-13.198224
74,-1.6792579,-21.704138,1.503268
75,3.042241,-1.4751242,1.3077183
76,4.2333393,-7.2001004,0.81849295
77,-0.39473155,-4.9666843,2.795896
78,2.3909214,-1.7534897,1.4804231
79,0.58320236,-2.0927908,-0.16566925
80,-5.659479,-16.815245,4.776036
81,0.9227185,-8.528309,4.180258
82,1.016571,-3.3824866,-2.1715996
83,1.2852298,-2.6449916,-0.41469008
84,1.650347,-16.641958,3.5952284
85,-0.33352032,-3.6291707,-4.4948254
86,5.3096447,-41.811546,-5.419655
87,2.189793,-3.0009837,-6.7635856
88,-1.1033432,-9.966244,-16.771553
89,-1.6652887,-3.4993827,-0.5318338
90,4.906501,-11.328232,-23.841303
91,-4.4345303,-9.802808,0.99415606
92,2.8291423,-5.2850294,-0.3087356
93,0.51954985,-2.6857712,-4.1764245
94,8.564585,-13.081863,-9.141469
95,1.3873997,-4.6871753,3.803005
96,2.308885,-2.3584454,2.548506
97,8.851061,-37.813385,-6.192015
98,9.197174,-23.318546,-20.348131
99,-0.54575443,-7.4914327,1.0060781
100,4.1449003,-9.47738,1.1762462
101,2.6796567,-2.3498883,2.3859456
102,-14.927085,-31.231165,4.106902
103,-16.602537,-13.907299,-14.7198
104,-2.7316191,-15.503295,0.5852553
105,6.9169397,-11.821632,-3.954531
106,5.906637,-5.39884,-5.8036294
107,-2.8821692,-6.63771,-9.072247
108,9.424906,-23.34184,-7.187079
109,5.8308992,-8.424522,-9.639972
110,-6.649554,-27.194921,5.617039
111,-0.5127196,-3.971945,-0.42264384
112,7.5522466,-21.777796,-10.222574
113,8.211224,-14.848617,-24.984003
114,0.064566106,-4.4145565,1.0492384
115,-1.0741354,-3.0786116,-0.07979601
116,-3.9361243,-26.124842,5.4101195
117,-0.42429617,-6.920912,3.738705
118,3.545876,-2.5189216,1.6915121
119,3.695189,-2.8779356,-1.0936792
120,2.440617,-6.7166047,2.7521236
121,2.937999,-1.7247165,2.756326
122,-2.2747061,-8.720619,-15.494435
123,0.38514778,-3.032811,-0.6478339
124,1.4908836,-2.951224,2.3299115
125,2.2355576,-1.9445813,-0.4272044
126,2.00418,-7.0235715,3.1208322
127,0.63853014,-4.181702,2.1179464
128,2.211083,-2.341162,1.0328969
129,-0.17894176,-2.30988,-1.1658194
130,3.354323,-2.9098616,0.7207777
131,3.0914652,-1.8914969,2.4247015
132,4.01017,-13.281325,-27.397867
133,-1.558519,-10.92284,-4.7573433
134,7.0553503,-19.776474,-7.368623
135,1.3388572,-4.0182734,-8.46777
136,1.6506321,-2.486933,-1.8726028
137,2.9541404,-1.8129878,2.741114
138,1.8746817,-1.8681061,1.4359357
139,10.676057,-16.619705,-22.404388
140,1.7770894,-2.4984045,2.1257622
141,-0.25726262,-2.6825678,-0.8951035
142,-5.7836914,-12.201066,-4.127865
143,7.069155,-9.598896,-4.467343
144,4.7661824,-5.196408,-1.4870999
145,3.0438263,-7.1224437,-1.6790521
146,3.4588275,-1.6223725,-0.2906735
147,0.48649582,-3.5042222,-0.7343132
148,4.651676,-5.0919876,-2.8947213
149,3.72847,-4.6410966,0.8159235
150,3.7797892,-2.6923337,0.6947765
151,2.3283672,-7.508041,2.5012748
152,0.88491774,-2.9332535,0.7897107
153,2.7198484,-6.1908107,-0.07820969
154,3.470635,-11.5185795,-4.6084094
155,-2.1339073,-19.81704,5.2022605
156,-1.8625226,-15.435331,-12.396714
157,4.9875355,-11.465362,-0.84839994
158,-0.47775248,-4.1601605,-0.43454093
159,7.0687733,-14.026079,-3.2478466
160,-15.249848,-47.285587,0.40673703
161,-6.6824117,-11.570784,-3.5833108
162,-4.343682,-12.039319,2.5891993
163,-10.546813,-14.9365425,-24.41454
164,1.7457626,-1.6114274,-0.06572091
165,-3.4380202,-9.753225,4.1570253
166,-11.456014,-13.138357,-3.2386029
167,4.2433867,-6.353957,-1.9377207
168,-24.994265,-26.203753,-10.77684
169,2.1725602,-2.045302,-1.9193084
